"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"ASV175" "k__Fungi" "p__Ascomycota" "c__Pezizomycetes" "o__Pezizales" "f__Ascobolaceae" "g__Ascobolus" NA
"ASV176" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" NA NA
"ASV178" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Stachybotryaceae" "g__Myrothecium" NA
"ASV179" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" NA NA NA
"ASV180" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Torulaceae" "g__Dendryphion" "s__europaeum"
"ASV181" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Ceratobasidiaceae" NA NA
"ASV182" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Chaetothyriaceae" NA NA
"ASV183" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Diaporthales" "f__Diaporthaceae" "g__Diaporthe" NA
"ASV185" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Ceratobasidiaceae" NA NA
"ASV186" "k__Fungi" "p__Ascomycota" "c__Orbiliomycetes" "o__Orbiliales" "f__Orbiliaceae" "g__Arthrobotrys" NA
"ASV188" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__hyalina"
"ASV189" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiaceae" NA NA
"ASV190" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV191" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Pleomassariaceae" NA NA
"ASV192" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Cylindrocarpon" NA
"ASV193" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Branch06" NA NA NA
"ASV194" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV195" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Ceratobasidiaceae" NA NA
"ASV197" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__sarnyensis"
"ASV198" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Hyaloscyphaceae" "g__Trichopeziza" "s__mollissima"
"ASV200" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__aggregatum"
"ASV201" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Branch06" NA NA NA
"ASV202" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Filobasidiales" "f__Piskurozymaceae" "g__Solicoccozyma" NA
"ASV203" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" NA NA
"ASV204" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" "g__Podospora" NA
"ASV205" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Ceratobasidiaceae" NA NA
"ASV206" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Marasmiaceae" "g__Marasmius" NA
"ASV207" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Microascales" "f__Halosphaeriaceae" NA NA
"ASV208" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Cylindrocarpon" NA
"ASV210" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiaceae" "g__Tetracladium" NA
"ASV211" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__echinula"
"ASV212" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Cylindrocarpon" NA
