"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_66","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Spirosphaera","cupreorufescens"
"ASV_67","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"ASV_68","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae",NA,NA
"ASV_69","Fungi","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytridiaceae",NA,NA
"ASV_71","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria",NA
"ASV_72","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","solani"
"ASV_74","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lindgomycetaceae","Clohesyomyces","aquaticus"
"ASV_76","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Pseudocoleophoma","polygonicola"
"ASV_78","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Septoglomus","viscosum"
"ASV_79","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","silvanum"
"ASV_81","Fungi","Ascomycota","Sordariomycetes","Myrmecridiales","Myrmecridiaceae","Myrmecridium","schulzeri"
"ASV_82","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"ASV_83","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","sayulitensis"
"ASV_84","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","hiemalis"
"ASV_85","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"ASV_86","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","sayulitensis"
"ASV_87","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella",NA
"ASV_88","Fungi","Ascomycota","Sordariomycetes","Branch06",NA,NA,NA
"ASV_89","Fungi","Chytridiomycota","Rhizophlyctidomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis","rosea"
"ASV_90","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Paramyrothecium","viridisporum"
"ASV_92","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae",NA,NA
"ASV_93","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neoascochyta","europaea"
"ASV_94","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","equina"
"ASV_95","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"ASV_96","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","alpina"
"ASV_97","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","silvanum"
"ASV_98","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae",NA,NA
"ASV_99","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Pseudocoleophoma","polygonicola"
"ASV_102","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Articulospora",NA
"ASV_104","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"ASV_105","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","indicum"
"ASV_106","Fungi","Ascomycota","Sordariomycetes","Xylariales","Microdochiaceae","Microdochium",NA
